# QGIS Generated Color Map Export File
INTERPOLATION:EXACT
0,0,0,0,0,Background
1,255,211,0,255,Corn
2,255,38,38,255,Cotton
3,0,168,229,255,Rice
4,255,158,12,255,Sorghum
5,38,112,0,255,Soybeans
6,255,255,0,255,Sunflower
7,0,0,0,255,
8,0,0,0,255,
9,0,0,0,255,
10,112,165,0,255,Peanuts
11,0,175,76,255,Tobacco
12,221,165,12,255,Sweet Corn
13,221,165,12,255,Pop or Orn Corn
14,127,211,255,255,Mint
15,0,0,0,255,
16,0,0,0,255,
17,0,0,0,255,
18,0,0,0,255,
19,0,0,0,255,
20,0,0,0,255,
21,226,0,124,255,Barley
22,137,99,84,255,Durum Wheat
23,216,181,107,255,Spring Wheat
24,165,112,0,255,Winter Wheat
25,214,158,188,255,Other Small Grains
26,112,112,0,255,Dbl Crop WinWht/Soybeans
27,173,0,124,255,Rye
28,160,89,137,255,Oats
29,112,0,73,255,Millet
30,214,158,188,255,Speltz
31,209,255,0,255,Canola
32,127,153,255,255,Flaxseed
33,214,214,0,255,Safflower
34,209,255,0,255,Rape Seed
35,0,175,76,255,Mustard
36,255,165,226,255,Alfalfa
37,165,242,140,255,Other Hay/Non Alfalfa
38,0,175,76,255,Camelina
39,214,158,188,255,Buckwheat
40,0,0,0,255,
41,168,0,229,255,Sugarbeets
42,165,0,0,255,Dry Beans
43,112,38,0,255,Potatoes
44,0,175,76,255,Other Crops
45,178,127,255,255,Sugarcane
46,112,38,0,255,Sweet Potatoes
47,255,102,102,255,Misc Vegs & Fruits
48,255,102,102,255,Watermelons
49,255,204,102,255,Onions
50,255,102,102,255,Cucumbers
51,0,175,76,255,Chick Peas
52,0,221,175,255,Lentils
53,84,255,0,255,Peas
54,242,163,119,255,Tomatoes
55,255,102,102,255,Caneberries
56,0,175,76,255,Hops
57,127,211,255,255,Herbs
58,232,191,255,255,Clover/Wildflowers
59,175,255,221,255,Sod/Grass Seed
60,0,175,76,255,Switchgrass
61,191,191,119,255,Fallow/Idle Cropland
62,0,0,0,0,
63,147,204,147,255,Forest
64,198,214,158,255,Shrubland
65,204,191,163,255,Barren
66,255,0,255,255,Cherries
67,255,142,170,255,Peaches
68,186,0,79,255,Apples
69,112,68,137,255,Grapes
70,0,119,119,255,Christmas Trees
71,178,155,112,255,Other Tree Crops
72,255,255,127,255,Citrus
73,0,0,0,255,
74,181,112,91,255,Pecans
75,0,165,130,255,Almonds
76,234,214,175,255,Walnuts
77,178,155,112,255,Pears
78,0,0,0,255,
79,0,0,0,255,
80,0,0,0,255,
81,242,242,242,255,Clouds/No Data
82,155,155,155,255,Developed
83,76,112,163,255,Water
84,0,0,0,255,
85,0,0,0,255,
86,0,0,0,255,
87,127,178,178,255,Wetlands
88,232,255,191,255,Nonag/Undefined
89,0,0,0,255,
90,0,0,0,255,
91,0,0,0,255,
92,0,255,255,255,Aquaculture
93,0,0,0,255,
94,0,0,0,255,
95,0,0,0,255,
96,0,0,0,255,
97,0,0,0,255,
98,0,0,0,255,
99,0,0,0,255,
100,0,0,0,255,
101,0,0,0,255,
102,0,0,0,255,
103,0,0,0,255,
104,0,0,0,255,
105,0,0,0,255,
106,0,0,0,255,
107,0,0,0,255,
108,0,0,0,255,
109,0,0,0,255,
110,0,0,0,255,
111,76,112,163,255,Open Water
112,211,226,249,255,Perennial Ice/Snow
113,0,0,0,255,
114,0,0,0,255,
115,0,0,0,255,
116,0,0,0,255,
117,0,0,0,255,
118,0,0,0,255,
119,0,0,0,255,
120,0,0,0,255,
121,155,155,155,255,Developed/Open Space
122,155,155,155,255,Developed/Low Intensity
123,155,155,155,255,Developed/Med Intensity
124,155,155,155,255,Developed/High Intensity
125,0,0,0,255,
126,0,0,0,255,
127,0,0,0,255,
128,0,0,0,255,
129,0,0,0,255,
